"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST)","20","0"
"BZN|ES","01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","16","0"
"BZN|ES","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","28","8"
"BZN|ES","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","20","12"
"BZN|ES","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","36","48"
"BZN|ES","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","128","152"
"BZN|ES","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","356","396"
"BZN|ES","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","676","692"
"BZN|ES","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","1012","1056"
"BZN|ES","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","1328","1436"
"BZN|ES","01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST)","1876","1896"
"BZN|ES","01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST)","2392","2216"
"BZN|ES","01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST)","2916","2600"
"BZN|ES","01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST)","3096","2944"
"BZN|ES","01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST)","3604","3456"
"BZN|ES","01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST)","3944","3756"
"BZN|ES","01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST)","4164","4000"
"BZN|ES","01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST)","4308","4284"
"BZN|ES","01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST)","4332","4460"
"BZN|ES","01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST)","4408","4572"
"BZN|ES","01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST)","4836","4708"
"BZN|ES","01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST)","5068","4832"
"BZN|ES","01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST)","5172","5076"
"BZN|ES","01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST)","5172","5168"
"BZN|ES","01.01.2023 13:45 - 01.01.2023 14:00 (CET/CEST)","5356","5120"
"BZN|ES","01.01.2023 14:00 - 01.01.2023 14:15 (CET/CEST)","5412","5076"
"BZN|ES","01.01.2023 14:15 - 01.01.2023 14:30 (CET/CEST)","5352","5004"
"BZN|ES","01.01.2023 14:30 - 01.01.2023 14:45 (CET/CEST)","5216","4760"
"BZN|ES","01.01.2023 14:45 - 01.01.2023 15:00 (CET/CEST)","5208","4500"
"BZN|ES","01.01.2023 15:00 - 01.01.2023 15:15 (CET/CEST)","5092","4292"
"BZN|ES","01.01.2023 15:15 - 01.01.2023 15:30 (CET/CEST)","4876","3836"
"BZN|ES","01.01.2023 15:30 - 01.01.2023 15:45 (CET/CEST)","4644","3580"
"BZN|ES","01.01.2023 15:45 - 01.01.2023 16:00 (CET/CEST)","4512","3348"
"BZN|ES","01.01.2023 16:00 - 01.01.2023 16:15 (CET/CEST)","4176","3376"
"BZN|ES","01.01.2023 16:15 - 01.01.2023 16:30 (CET/CEST)","3728","2940"
"BZN|ES","01.01.2023 16:30 - 01.01.2023 16:45 (CET/CEST)","2968","2568"
"BZN|ES","01.01.2023 16:45 - 01.01.2023 17:00 (CET/CEST)","2236","2292"
"BZN|ES","01.01.2023 17:00 - 01.01.2023 17:15 (CET/CEST)","1640","1872"
"BZN|ES","01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST)","1196","1372"
"BZN|ES","01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST)","824","872"
"BZN|ES","01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST)","464","492"
"BZN|ES","01.01.2023 18:00 - 01.01.2023 18:15 (CET/CEST)","160","204"
"BZN|ES","01.01.2023 18:15 - 01.01.2023 18:30 (CET/CEST)","28","52"
"BZN|ES","01.01.2023 18:30 - 01.01.2023 18:45 (CET/CEST)","4","12"
"BZN|ES","01.01.2023 18:45 - 01.01.2023 19:00 (CET/CEST)","0","4"
"BZN|ES","01.01.2023 19:00 - 01.01.2023 19:15 (CET/CEST)","0","0"
"BZN|ES","01.01.2023 19:15 - 01.01.2023 19:30 (CET/CEST)","4","0"
"BZN|ES","01.01.2023 19:30 - 01.01.2023 19:45 (CET/CEST)","4","0"
