DATETIME,CORRECTVALUES
2024-09-01 00:00:00+02:00,0
2024-09-01 01:00:00+02:00,0
2024-09-01 02:00:00+02:00,0
2024-09-01 03:00:00+02:00,0
2024-09-01 04:00:00+02:00,0
2024-09-01 05:00:00+02:00,0
2024-09-01 06:00:00+02:00,0
2024-09-01 07:00:00+02:00,0
2024-09-01 08:00:00+02:00,0
2024-09-01 09:00:00+02:00,7.328093738
2024-09-01 10:00:00+02:00,20.95831814
2024-09-01 11:00:00+02:00,22.14864183
2024-09-01 12:00:00+02:00,98.13783231
2024-09-01 13:00:00+02:00,111.1025619
2024-09-01 14:00:00+02:00,97.85690103
2024-09-01 15:00:00+02:00,110.8992031
2024-09-01 16:00:00+02:00,108.0228704
2024-09-01 17:00:00+02:00,98.45132247
2024-09-01 18:00:00+02:00,70.65888226
2024-09-01 19:00:00+02:00,45.75141166
2024-09-01 20:00:00+02:00,18.08194182
2024-09-01 21:00:00+02:00,1.95394045
2024-09-01 22:00:00+02:00,0
2024-09-01 23:00:00+02:00,0
2024-09-02 00:00:00+02:00,0
2024-09-02 01:00:00+02:00,0
2024-09-02 02:00:00+02:00,0
2024-09-02 03:00:00+02:00,0
2024-09-02 04:00:00+02:00,0
2024-09-02 05:00:00+02:00,0
2024-09-02 06:00:00+02:00,0
2024-09-02 07:00:00+02:00,0
2024-09-02 08:00:00+02:00,0
2024-09-02 09:00:00+02:00,7.807878811
2024-09-02 10:00:00+02:00,36.8870199
2024-09-02 11:00:00+02:00,78.20713114
2024-09-02 12:00:00+02:00,107.3234922
2024-09-02 13:00:00+02:00,121.9817976
2024-09-02 14:00:00+02:00,123.9063721
2024-09-02 15:00:00+02:00,121.9904726
2024-09-02 16:00:00+02:00,116.7419121
2024-09-02 17:00:00+02:00,107.2192187
2024-09-02 18:00:00+02:00,75.03673426
2024-09-02 19:00:00+02:00,47.19953889
2024-09-02 20:00:00+02:00,19.83718986
2024-09-02 21:00:00+02:00,1.984683975
2024-09-02 22:00:00+02:00,0
2024-09-02 23:00:00+02:00,0
2024-09-03 00:00:00+02:00,0
2024-09-03 01:00:00+02:00,0
2024-09-03 02:00:00+02:00,0
2024-09-03 03:00:00+02:00,0
2024-09-03 04:00:00+02:00,0
2024-09-03 05:00:00+02:00,0
2024-09-03 06:00:00+02:00,0
2024-09-03 07:00:00+02:00,0
2024-09-03 08:00:00+02:00,0
2024-09-03 09:00:00+02:00,7.807878811
2024-09-03 10:00:00+02:00,36.87847778
2024-09-03 11:00:00+02:00,77.89326232
2024-09-03 12:00:00+02:00,107.2331585
2024-09-03 13:00:00+02:00,122.5429835
2024-09-03 14:00:00+02:00,124.4477484
2024-09-03 15:00:00+02:00,123.0760163
2024-09-03 16:00:00+02:00,117.9545687
2024-09-03 17:00:00+02:00,104.8859446
2024-09-03 18:00:00+02:00,72.47839963
2024-09-03 19:00:00+02:00,35.52974524
2024-09-03 20:00:00+02:00,15.00279804
